xand;Brazil;515;13210;1.1;1.07;9681;50.2;1.12;
paz;Turkey;1068;27990;1.11;1.07;20217;51.2;1.08;
CRUC1AL;Netherlands;1461;38299;1.11;1.07;27614;28.9;1.15;
InfrequeNt;Australia;479;12350;1.11;1.07;8937;33.8;1.18;
HObbit;Kazakhstan;1147;30237;1.11;1.07;21968;46.6;1.13;
boltz;Brazil;1259;32756;1.13;1.07;23379;39.4;1.09;
EspiranTo;Lithuania;871;22800;1.08;1.07;16973;59.9;1.16;
WorldEdit;Russia;1328;34716;1.11;1.07;25226;28.0;1.15;
QKA;China;402;10409;1.1;1.07;7690;40.4;1.16;
FalleN;Brazil;1538;40215;1.15;1.07;27904;30.8;1.08;
somebody;China;1253;32437;1.1;1.07;23702;45.8;1.16;
Brollan;Sweden;967;25710;1.09;1.07;18732;52.5;1.17;
shroud;Canada;676;17460;1.12;1.07;12588;52.9;1.04;
Pimp;Denmark;976;25052;1.13;1.07;18116;46.6;1.05;
fame;Russia;491;13123;1.1;1.07;9589;57.6;1.15;
hardzao;Brazil;655;17219;1.14;1.07;12073;47.1;1.04;
anarkez;Israel;666;17822;1.11;1.07;12819;30.8;1.18;
roeJ;Denmark;865;22846;1.09;1.07;17051;55.5;1.22;
shz;Brazil;794;20588;1.11;1.07;14776;51.2;1.05;
chelo;Brazil;872;22547;1.1;1.07;16149;60.9;1.15;
DD;China;913;23620;1.1;1.07;17368;41.9;1.13;
broky;Latvia;656;17484;1.14;1.06;12148;38.6;1.01;
NikkeZ;Australia;399;10276;1.08;1.06;7677;46.5;1.15;
snatchie;Poland;1548;41527;1.09;1.06;30062;29.3;1.15;
zhokiNg;China;1197;30537;1.07;1.06;22986;51.0;1.28;
ofnu;New Zealand;852;21778;1.1;1.06;15793;48.9;1.11;
AnJ;Denmark;403;10503;1.11;1.06;7530;50.7;1.09;
Ethan;United States;986;25998;1.09;1.06;18853;49.4;1.18;
Happy;France;1464;37933;1.11;1.06;28022;41.2;1.0;
acoR;Denmark;1057;27637;1.11;1.06;19475;38.1;1.1;
b1t;Ukraine;420;11153;1.11;1.06;7855;68.4;1.12;
SHiPZ;Bulgaria;1645;43845;1.07;1.06;32404;50.0;1.15;
COLDYY1;Ukraine;947;24917;1.11;1.06;17902;55.1;1.07;
flying;China;393;10502;1.08;1.06;7736;50.7;1.08;
SLOWLY;China;523;13867;1.07;1.06;10108;59.4;1.15;
Valiance;Australia;646;16727;1.1;1.06;11723;51.5;1.04;
Skadoodle;United States;1047;27129;1.15;1.06;18365;24.8;0.95;
pancc;Brazil;581;15327;1.08;1.06;11087;53.6;1.15;
b4rtiN;Brazil;512;13404;1.1;1.06;9496;55.3;1.06;
koosta;United States;977;25766;1.08;1.06;18522;37.3;1.12;
Maka;France;1175;31236;1.1;1.06;22108;36.0;1.15;
suNny;Finland;1311;34560;1.07;1.06;25460;47.4;1.14;
tucks;Australia;718;18208;1.1;1.06;12952;43.9;1.11;
TOR;Thailand;452;11472;1.09;1.06;8271;28.9;1.14;
olofmeister;Sweden;1560;40776;1.1;1.06;29037;46.6;1.01;
malbsMd;Guatemala;525;13434;1.04;1.06;10096;62.9;1.2;
nexa;Serbia;1231;32586;1.1;1.05;22808;51.0;1.02;
Gratisfaction;New Zealand;897;23347;1.12;1.05;16191;31.9;1.14;
KEi;Poland;633;17036;1.05;1.05;12649;46.4;1.22;
REDSTAR;Bulgaria;614;16301;1.11;1.05;11529;48.3;1.08;
rallen;Poland;1745;46592;1.1;1.05;33560;43.0;1.12;
Sobol;Poland;775;20957;1.08;1.05;15028;52.1;1.07;
bottle;China;768;19801;1.06;1.05;14489;56.8;1.11;
iM;Romania;763;20486;1.06;1.05;15153;48.7;1.17;
tabseN;Germany;1906;50299;1.04;1.05;36872;48.9;1.24;
ISSAA;Jordan;870;22834;1.09;1.05;16229;55.5;1.06;
zeph;Australia;555;14146;1.06;1.05;10452;48.7;1.21;
Rainwaker;Bulgaria;1077;29055;1.1;1.05;20281;42.5;1.05;
JW;Sweden;1930;50719;1.07;1.05;37047;36.6;1.16;
Ramz1kBO$$;Kazakhstan;425;11070;1.07;1.05;8110;33.8;1.2;
TeSeS;Denmark;799;21344;1.07;1.05;15351;55.3;1.12;
HZ;China;500;12856;1.08;1.05;9305;49.4;1.14;
cajunb;Denmark;1745;45680;1.1;1.05;31980;41.0;1.02;
mou;Kazakhstan;1489;39475;1.1;1.05;28048;28.0;1.13;
juanflatroo;Kosovo;532;14210;1.04;1.05;10762;57.2;1.17;
Grim;United States;870;22901;1.05;1.05;16450;47.9;1.11;
sdy;Ukraine;1054;27638;1.11;1.05;19254;50.8;1.04;
KRIMZ;Sweden;1772;46627;1.1;1.05;32732;40.8;1.01;
Marcelious;Norway;464;12520;1.08;1.05;8902;31.2;1.1;
yay;United States;653;17182;1.05;1.05;12452;46.7;1.16;
Qikert;Kazakhstan;1234;32625;1.09;1.05;22914;56.4;1.09;
refrezh;Denmark;953;25375;1.08;1.05;17918;49.4;1.06;
SicK;United States;795;20701;1.07;1.05;15002;49.8;1.11;
NEEX;Poland;429;11195;1.08;1.05;8076;31.3;1.09;
Aerial;Finland;941;24972;1.07;1.05;17881;41.6;1.13;
stavn;Denmark;1088;28991;1.07;1.05;21088;43.1;1.14;
loWel;Spain;1008;26413;1.1;1.05;18549;47.5;0.97;
Flarich;Latvia;1058;28161;1.1;1.05;19389;55.2;0.98;
raafa;Brazil;640;16832;1.1;1.05;11650;27.4;1.08;
Zellsis;United States;626;16210;1.07;1.05;11657;46.4;1.11;
flusha;Sweden;1868;49019;1.08;1.05;34701;42.0;1.06;
WolfY;United States;527;14037;1.11;1.05;9766;34.7;1.06;
rommi;Russia;516;13467;1.06;1.05;9899;50.8;1.05;
Bwills;United States;747;19299;1.07;1.05;13698;51.4;1.06;
cadiaN;Denmark;1443;38127;1.1;1.05;26511;27.6;1.12;
kabal;Mongolia;771;20216;1.08;1.04;14338;46.0;1.06;
malta;Australia;989;25205;1.09;1.04;17507;39.7;1.08;
MarKE;Mexico;926;23830;1.09;1.04;16750;53.1;1.1;
Swahn;United States;374;9836;1.09;1.04;6902;25.5;1.11;
Kjaerbye;Denmark;1519;39947;1.08;1.04;28410;52.9;1.1;
afro;France;547;14615;1.09;1.04;10077;35.3;1.11;
FASHR;Netherlands;689;18214;1.05;1.04;13083;49.0;1.14;
n0rb3r7;Russia;1049;28055;1.04;1.04;20194;50.8;1.16;
DavCost;Russia;1249;32934;1.09;1.04;23087;32.5;1.08;
zewsy;New Zealand;618;15666;1.06;1.04;11142;41.0;1.11;
STOMP;Poland;809;21729;1.1;1.04;15139;26.1;1.11;
aumaN;China;874;22423;1.08;1.04;15892;41.7;1.11;
jkaem;Norway;1280;33769;1.05;1.04;24647;51.6;1.16;
Snakes;United States;403;10328;1.07;1.04;7287;43.3;1.06;
Hiko;United States;937;24398;1.1;1.04;16611;53.9;0.9;
Geniuss;Thailand;398;10155;1.04;1.04;7345;56.4;1.17;
Snax;Poland;2103;55469;1.08;1.04;39086;36.5;1.07;
KHTEX;Brazil;607;15652;1.09;1.04;10950;45.5;1.05;
Lucky;Denmark;434;11721;1.09;1.04;8079;40.5;1.05;
HSK;Korea;540;13851;1.1;1.04;9678;31.1;1.09;
motm;United States;906;23901;1.05;1.04;17181;51.0;1.1;
fnx;Brazil;644;16496;1.08;1.04;11678;49.7;1.08;
imoRR;Turkey;603;16095;1.02;1.04;11800;50.9;1.28;
twist;Sweden;1683;44551;1.06;1.04;31654;41.3;1.1;
Bubzkji;Denmark;817;21619;1.07;1.04;15534;50.8;1.11;
buster;Kazakhstan;1240;32769;1.1;1.04;22339;47.9;1.03;
eraa;Sweden;556;15093;1.07;1.04;10697;33.2;1.09;
ANDROID;Canada;835;21741;1.07;1.04;15394;50.7;1.02;
LOVEYY;China;708;17977;1.06;1.04;12939;52.0;1.11;
Kntz;Thailand;498;12821;1.08;1.04;9085;47.3;0.99;
Maden;Montenegro;652;17364;1.04;1.04;12632;51.5;1.18;
Lucky;France;1180;31516;1.07;1.03;21748;41.5;1.06;
Davidp;Belgium;774;20539;1.08;1.03;14255;39.7;1.07;
tb;China;619;15737;1.07;1.03;11088;49.9;1.05;
dEE;Serbia;439;11583;1.07;1.03;8169;33.5;1.07;
tarik;United States;1438;37326;1.05;1.03;26620;37.8;1.11;
land1n;Brazil;758;19824;1.1;1.03;13320;31.0;1.06;
F1KU;Poland;576;15684;1.04;1.03;11046;55.0;1.09;
dobu;Mongolia;768;20107;1.05;1.03;14386;54.5;1.14;
REZ;Sweden;1323;34821;1.06;1.03;24506;49.5;1.1;
rAge;Ukraine;382;10184;1.11;1.03;6850;31.8;1.03;
NK4Y;Bulgaria;480;12325;1.05;1.03;8697;62.1;1.03;
sjuush;Denmark;793;20961;1.07;1.03;14395;52.6;1.04;
JUST;Portugal;855;22511;1.06;1.03;15585;55.3;1.03;
USTILO;Australia;1144;29584;1.05;1.03;20847;46.0;1.12;
Subroza;Canada;623;16275;1.03;1.03;11748;48.4;1.19;
TRAVIS;Russia;482;12848;1.05;1.03;9024;54.7;1.14;
JonY BoY;Argentina;418;10732;1.05;1.03;7530;34.8;1.16;
max;Uruguay;538;14230;1.06;1.03;9999;45.8;1.09;
juho;Finland;753;19812;1.02;1.03;14492;45.7;1.19;
DannyG;Australia;377;9748;1.04;1.03;6994;46.5;1.13;
yam;Australia;547;14003;1.07;1.03;9755;34.6;1.15;
fleav;Hungary;548;14421;1.03;1.03;10494;40.5;1.11;
alex;Spain;1265;33492;1.06;1.03;23291;45.8;1.07;
Relaxa;Sweden;1203;32043;1.1;1.03;21475;30.2;1.04;
Lucaozy;Brazil;387;10504;1.06;1.03;7353;50.7;1.06;
znajder;Sweden;1050;27577;1.06;1.03;19778;47.9;1.05;
DEV7L;Czech Republic;549;14256;1.06;1.03;9988;34.2;1.04;
AiyvaN;Ukraine;694;18045;1.05;1.03;12635;37.8;1.11;
DiMKE;Serbia;635;16721;1.04;1.03;11835;46.9;1.08;
captainMo;China;814;20980;1.04;1.03;14956;40.2;1.09;
phzy;Sweden;447;12013;1.08;1.03;8129;28.9;1.01;
KENSI;Russia;476;12789;1.08;1.03;8718;55.3;1.01;
rain;Norway;1569;41489;1.03;1.03;29498;56.2;1.16;
